timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745103173167,2,14201,30851,-29321,30584,30067,0
1745103173167,0,26481,27744,-26714,26483,27271,0
1745103173169,1,-16380,768,10016,2304,-175,0
1745103173212,3,6014,29840,25751,-18566,31691,0
1745103173212,2,26490,31131,-21385,-6278,31134,0
1745103173226,0,-10655,28920,20982,-30878,31787,0
1745103173227,1,0,512,18208,2048,-165,0
1745103173272,3,-22668,31900,21543,6006,30874,0
1745103173272,2,10109,32220,-4105,6272,-32744,0
1745103173273,0,18016,31171,1255,-15012,28397,0
1745103173274,1,1536,-228,-22273,-20490,-136,0
1745103173317,3,-30856,30589,29783,-18572,32737,0
1745103173317,2,14207,32227,-14457,-14468,31961,0
1745103173318,0,30310,27976,4567,-31123,29130,0
1745103173319,1,0,2304,80,-185,-358,0
1745103173362,3,-6278,32155,-921,30589,32678,0
1745103173362,2,22393,31388,-21993,22395,31932,0
1745103173363,0,22141,27631,-24649,6017,28795,0
1745103173364,1,-5,-1089,-16385,-4101,-833,0
1745103173407,3,22399,30871,-7737,1921,32253,0
1745103173407,2,-6279,31394,-20873,10105,31640,0
1745103173408,0,-22397,30532,-30921,-30583,31926,0
1745103173409,1,24579,114,15622,-1,-1891,0
1745103173467,3,6274,31274,-20089,-22656,31456,0
1745103173467,2,-14470,30879,-32505,14203,31167,0
1745103173468,0,-6023,31805,11783,-18309,-31618,0
1745103173469,1,-5,-1089,-16385,4092,-193,0
1745103173497,3,30848,-32765,-1305,-1922,-32480,0
1745103173497,2,6010,30868,-25401,-10376,31115,0
1745103173498,0,-6285,-29986,5304,18291,-31307,0
1745103173499,1,0,-23808,-193,-16397,-1082,0
1745103173542,3,1913,32170,-8025,-30593,-30961,0
1745103173542,2,-30853,31435,-22073,-10374,31659,0
1745103173543,0,-30858,-32438,22760,-10373,-32683,0
1745103173544,1,-8197,-1090,-11121,8184,-753,0
1745103173587,3,-6279,31854,-8553,14205,-32556,0
1745103173602,2,-22663,31936,-19577,-14471,30857,0
1745103173602,0,-6272,29816,-7145,6023,30161,0
1745103173603,1,0,142,-11518,-28699,-2817,0
1745103173647,3,-18563,32685,8376,-26757,29771,0
1745103173647,2,-2179,32208,-10905,22395,31666,0
1745103173648,0,22403,30173,-31609,-6271,28916,0
1745103173649,1,-5,-1089,-11009,-24586,-2580,0
1745103173692,3,-10110,-32197,1512,-26498,31523,0
1745103173692,2,-26755,32740,-4761,-2179,32223,0
1745103173693,0,-14211,29708,-10602,-6283,31200,0
1745103173694,1,28664,-2317,-9713,-5,-1089,0
1745103173752,3,-14476,31160,31927,-22403,-32700,0
1745103173752,2,-10372,31957,-11961,30588,31395,0
1745103173753,0,-30865,31126,26423,10102,-30479,0
1745103173754,1,-4092,104,-2040,-1,-1202,0
1745103173797,3,6006,32696,-15529,-22668,-31821,0
1745103173797,2,-2184,30587,-31529,30583,31095,0
1745103173798,0,-14469,-31039,22936,30588,-30216,0
1745103173799,1,-5,-1089,-16385,4092,-194,0
1745103173827,3,1911,30529,-25881,-30856,30583,0
1745103173828,2,22391,30830,-27033,1915,31427,0
1745103173828,0,26760,-32408,14344,-1916,-31443,0
1745103173842,1,0,1792,128,-1000,-29,0
1745103173871,3,26495,30876,-4585,-22656,30662,0
1745103173872,2,-2179,32483,-16633,-2181,32482,0
1745103173873,0,26762,-32424,23640,-1914,32526,0
1745103173874,1,-24580,-1902,-49,-12180,1792,0
1745103173917,3,-22655,30174,-30921,-14210,30209,0
1745103173917,2,-2181,31424,-18697,10107,30872,0
1745103173918,0,-14200,31901,-21593,-26496,31496,0
1745103173919,1,-28810,-2049,-23697,4084,-25089,0
1745103173962,3,6009,31486,6743,-6284,-32528,0
1745103173962,2,-2184,31133,-30377,6008,31395,0
1745103173963,0,-26759,32490,-7465,2177,32310,0
1745103173977,1,0,128,15622,-1,-1891,0
1745103174021,3,14187,-32428,-16457,-22672,-30810,0
1745103174022,2,18297,31409,-24617,14201,31123,0
1745103174023,0,6002,31618,-22873,22390,32411,0
1745103174024,1,2,2074,64,-29134,-88,0
1745103174066,3,9840,30923,-3945,-31115,30182,0
1745103174067,2,-2185,31113,32007,10102,29777,0
1745103174068,0,-18574,30510,29095,-18574,30494,0
1745103174069,1,-24572,30,27472,1536,-128,0
1745103174111,3,-22915,29431,-20265,-10634,29434,0
1745103174112,2,-18573,29738,18455,22388,30028,0
1745103174113,0,5752,28656,32055,10104,31032,0
1745103174114,1,-8015,123,-3584,1280,-747,0
1745103174186,3,-18562,29624,26887,14212,30438,0
1745103174187,2,-18570,30832,-27241,-14471,31123,0
1745103174188,0,10107,29558,25607,14202,29785,0
1745103174189,1,-4058,1536,13792,0,-21189,0
1745103174201,3,14462,30470,8519,2169,32294,0
1745103174202,2,22397,31941,-15353,-30852,31685,0
1745103174203,0,26487,29338,-9786,-30861,31155,0
1745103174204,1,-2305,225,27392,-24576,0,0
1745103174277,3,-18567,32210,-29497,18291,-32069,0
1745103174277,2,-2180,32217,-15049,-30852,31950,0
1745103174278,0,26485,30086,10839,-18576,32409,0
1745103174279,1,0,1024,128,2560,-177,0
1745103174291,3,10097,31575,-32105,-30862,32084,0
1745103174292,2,-2181,32465,-10441,14205,32473,0
1745103174292,0,1642,29355,-12714,30312,30438,0
1745103174294,1,0,256,23888,1792,-83,0
1745103174337,3,30324,29426,-24393,18295,30562,0
1745103174367,2,30587,31677,-19785,14203,31674,0
1745103174367,0,22125,26968,-5978,26216,25702,0
1745103174368,1,0,0,26848,1792,-186,0
